Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
659,Richard Glatzer,$21.3,4,$5.3,Still Alice,$18.8
660,Wash Westmoreland,$21.3,4,$5.3,Still Alice,$18.8
661,Robert Duvall,$20.9,2,$10.4,The Apostle,$19.9
662,Michael Winterbottom,$20.9,20,$1.0,A Mighty Heart,$9.2
663,Nick Hurran,$20.8,3,$6.9,Little Black Book,$20.7
664,James D. Stern,$20.4,4,$5.1,Michael Jordan (IMAX),$18.7
665,Nanette Burstein,$20.2,4,$5.1,Going the Distance,$17.8
666,Tom Ford,$19.8,2,$9.9,Nocturnal Animals,$10.7
667,Kurt Wimmer,$19.7,2,$9.9,Ultraviolet,$18.5
668,Sean Penn,$19.2,2,$9.6,Into the Wild,$18.4
669,Andrew Dominik,$19.2,3,$6.4,Killing Them Softly,$15.0
670,Stuart Beattie,$19.1,2,$9.5,"I, Frankenstein",$19.1
671,Michael Goldenberg,$19.0,1,$19.0,Bed of Roses,$19.0
672,Ross Katz,$18.7,1,$18.7,The Choice,$18.7
673,Asger Leth,$18.7,2,$9.3,Man on a Ledge,$18.6
674,Ricky Gervais,$18.5,1,$18.5,The Invention of Lying,$18.5
675,Dustin Hoffman,$18.4,1,$18.4,Quartet,$18.4
676,Greta Gerwig,$18.3,2,$9.2,Lady Bird,$18.3
677,Jorma Taccone,$18.2,2,$9.1,Popstar,$9.6
678,Werner Herzog,$17.9,10,$1.8,Rescue Dawn,$5.5
679,Rob Hardy,$17.8,3,$5.9,The Gospel,$15.8
680,Jeff Schaffer,$17.8,1,$17.8,Eurotrip,$17.8
681,Michael J. Bassett,$17.5,1,$17.5,Silent Hill 2,$17.5
682,Vincenzo Natali,$17.5,2,$8.8,Splice,$17.0
683,J.C. Chandor,$17.4,3,$5.8,All Is Lost,$6.3
684,Pablo Larrain,$17.3,4,$4.3,Jackie,$14.0
685,Wayne Kramer,$15.6,4,$3.9,The Cooler,$8.3
686,Susannah Grant,$15.5,1,$15.5,Catch and Release,$15.5
687,Ed Gass-Donnelly,$15.2,2,$7.6,The Last Exorcism Part II,$15.2
688,Michael Haneke,$15.1,7,$2.2,Amour,$6.7
689,Trish Sie,$14.9,1,$14.9,Step Up All In,$14.9
690,Stanley Tucci,$14.7,4,$3.7,Big Night,$12.0
691,Alejandro Monteverde,$14.6,2,$7.3,Bella,$8.1
692,Marcus Dunstan,$14.6,2,$7.3,The Collector,$7.7
693,Vic Armstrong,$14.0,1,$14.0,Left Behind,$14.0
694,Mark Mylod,$14.0,1,$14.0,What's Your Number?,$14.0
695,Cary Fukunaga,$13.9,3,$4.6,Jane Eyre,$11.2
696,David Palmer,$13.7,1,$13.7,Hit and Run,$13.7
697,Julian Schnabel,$13.7,5,$2.7,The Diving Bell and the Butterfly,$6.0
698,Wong Kar Wai,$13.1,10,$1.3,The Grandmaster,$6.6
699,Drew Barrymore,$13.0,1,$13.0,Whip It,$13.0
700,Jee-woon Kim,$12.9,5,$2.6,The Last Stand,$12.1
701,Benh Zeitlin,$12.8,1,$12.8,Beasts of the Southern Wild,$12.8
702,Mike Mills,$12.8,3,$4.3,Beginners,$5.8
703,Laura Lau,$12.8,1,$12.8,Silent House,$12.8
704,Akiva Goldsman,$12.6,1,$12.6,Winter's Tale,$12.6
705,John Curran,$12.5,5,$2.5,The Painted Veil,$8.1
706,Adam Rifkin,$12.2,5,$2.4,The Chase,$7.9
707,Jay Duplass,$12.1,5,$2.4,Cyrus,$7.5
708,Mark Duplass,$11.9,4,$3.0,Cyrus,$7.5
709,Brian Koppelman,$11.7,1,$11.7,Knockaround Guys,$11.7
710,David Levien,$11.7,1,$11.7,Knockaround Guys,$11.7
711,Heitor Dhalia,$11.7,1,$11.7,Gone,$11.7
712,Brian Klugman,$11.5,1,$11.5,The Words,$11.5
713,Lee Sternthal,$11.5,1,$11.5,The Words,$11.5
714,Denise Di Novi,$11.4,1,$11.4,Unforgettable,$11.4
715,Lorene Scafaria,$11.3,2,$5.7,Seeking a Friend for the End of the World,$7.1
716,Michael Roskam,$10.9,2,$5.4,The Drop,$10.7
717,Michael Dowse,$10.5,3,$3.5,Take Me Home Tonight,$6.9
718,Ryan Fleck,$10.3,4,$2.6,It's Kind of a Funny Story,$6.4
719,Errol Morris,$10.1,8,$1.3,The Fog of War,$4.2
720,Todd Solondz,$9.8,8,$1.2,Welcome to the Dollhouse,$4.6
721,Jason Dean Hall,$9.5,1,$9.5,Thank You for Your Service (2017),$9.5
722,Josh Schwartz,$9.4,1,$9.4,Fun Size,$9.4
723,Sylvain Chomet,$9.2,2,$4.6,The Triplets of Belleville,$7.0
724,Benson Lee,$9.2,2,$4.6,Battle of the Year,$8.9
725,John Michael McDonagh,$9.0,2,$4.5,The Guard,$5.4
726,John Pogue,$8.5,1,$8.5,The Quiet Ones,$8.5
727,Dan St. Pierre,$8.5,1,$8.5,Legends of Oz: Dorothy's Return,$8.5
728,Jason Bateman,$8.0,2,$4.0,Bad Words,$7.8
729,Nicholas Jarecki,$7.9,1,$7.9,Arbitrage,$7.9
730,Anna Boden,$7.6,3,$2.5,It's Kind of a Funny Story,$6.4
731,Tommy Lee Jones,$7.5,2,$3.7,The Three Burials of Melquiades Estrada,$5.0
732,Sarah Polley,$7.4,3,$2.5,Away from Her,$4.6
733,John Cameron Mitchell,$7.3,3,$2.4,Hedwig and the Angry Inch,$3.1
734,Charlie Kaufman,$6.8,2,$3.4,Anomalisa,$3.8
735,Atom Egoyan,$6.8,5,$1.4,Chloe,$3.1
736,Gareth Evans,$6.7,2,$3.4,The Raid: Redemption,$4.1
737,Sacha Gervasi,$6.7,2,$3.3,Hitchcock,$6.0
738,Debra Granik,$6.6,2,$3.3,Winter's Bone,$6.5
739,David Schwimmer,$6.1,2,$3.1,Run Fat Boy Run,$6.0
740,Marc Abraham,$6.1,2,$3.0,Flash of Genius,$4.4
741,Craig Johnson,$5.9,2,$3.0,The Skeleton Twins,$5.3
742,Gilbert Adler,$5.8,1,$5.8,Bordello of Blood,$5.8
743,Charles Ferguson,$5.8,3,$1.9,Inside Job,$4.3
744,Pieter Jan Brugge,$5.8,1,$5.8,The Clearing,$5.8
745,George Hickenlooper,$5.7,5,$1.1,Factory Girl,$1.7
746,Dean Wright,$5.7,1,$5.7,For Greater Glory,$5.7
747,Sngmoo Lee,$5.7,1,$5.7,The Warrior's Way,$5.7
748,Dan Fogelman,$5.6,1,$5.6,Danny Collins,$5.6
749,Diego Luna,$5.6,1,$5.6,Cesar Chavez,$5.6
750,Jacques Audiard,$5.4,4,$1.4,A Prophet (Un prophète),$2.1
751,Richard Wenk,$5.4,2,$2.7,Vamp,$4.9
752,Jez Butterworth,$5.1,1,$5.1,Birthday Girl,$5.1
753,Julie Delpy,$5.1,3,$1.7,2 Days in Paris,$4.4
754,Todd Lincoln,$4.9,1,$4.9,The Apparition,$4.9
755,Philippe Falardeau,$4.7,2,$2.4,The Good Lie,$2.7
756,Miranda July,$4.5,2,$2.2,Me and You and Everyone We Know,$3.9
757,Russell Crowe,$4.2,1,$4.2,The Water Diviner,$4.2
758,Gillian Robespierre,$4.1,2,$2.0,Obvious Child,$3.1
759,Helen Hunt,$3.7,1,$3.7,Then She Found Me,$3.7
760,Andrew Jarecki,$3.7,2,$1.9,Capturing the Friedmans,$3.1
761,Mike White,$3.7,2,$1.8,Brad's Status,$2.1
762,Xavier Dolan,$3.6,2,$1.8,Mommy,$3.5
763,Jeremy Saulnier,$3.5,2,$1.7,Green Room,$3.2
764,Rowan Joffe,$3.5,2,$1.7,Before I Go To Sleep,$3.2
765,Kelly Reichardt,$3.5,6,$578k,Certain Women,$1.1
766,Christopher Hampton,$3.4,3,$1.1,Carrington,$3.2
767,Lake Bell,$3.2,2,$1.6,In a World,$3.0
768,Lynn Shelton,$3.2,5,$631k,Your Sister's Sister,$1.6
769,Damian Szifron,$3.1,1,$3.1,Wild Tales,$3.1
770,Clark Gregg,$2.9,1,$2.9,Choke,$2.9
771,Keith Gordon,$2.8,5,$568k,A Midnight Clear,$1.5
772,Dustin Marcellino,$2.8,1,$2.8,The Identical,$2.8
773,Robert B. Weide,$2.8,1,$2.8,How to Lose Friends and Alienate People,$2.8
774,Gregory Levasseur,$2.8,1,$2.8,The Pyramid,$2.8
775,Vincent Gallo,$2.7,2,$1.4,Buffalo '66,$2.4
776,Zal Batmanglij,$2.7,2,$1.4,The East,$2.3
777,Dan Ireland,$2.6,4,$660k,Mrs. Palfrey at the Claremont,$1.7
778,Don Cheadle,$2.6,1,$2.6,Miles Ahead,$2.6
779,James Vanderbilt,$2.5,1,$2.5,Truth,$2.5
780,Claire Denis,$2.3,2,$1.2,Chocolat (1989),$2.3
781,Eran Creevy,$2.3,2,$1.1,Collide,$2.3
782,David Hare,$2.3,3,$760k,Wetherby,$1.3
783,Oren Moverman,$2.2,3,$750k,The Messenger,$1.1
784,Lynne Ramsay,$2.2,3,$741k,We Need to Talk About Kevin,$1.7
785,David Michod,$2.2,2,$1.1,The Rover,$1.1
786,Tom DiCillo,$2.2,5,$431k,Living in Oblivion,$1.1
787,Joseph Cedar,$2.1,3,$715k,Footnote,$2.0
788,Gregg Araki,$2.0,7,$292k,Mysterious Skin,$713k
789,Jonas Cuaron,$2.0,1,$2.0,Desierto,$2.0
790,Ralph Fiennes,$2.0,2,$996k,The Invisible Woman,$1.2
791,Adam Del Deo,$1.8,3,$590k,Every Little Step,$1.7
792,James Franco,$1.6,5,$325k,The Disaster Artist,$1.5
793,Steven Knight,$1.4,2,$706k,Locke,$1.4
794,Gaspar Noe,$1.4,3,$459k,Irreversible,$792k
