Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
329,Bruna Papandrea,$348.6,9,$38.7,Gone Girl,$167.8
330,Seth MacFarlane,$343.4,3,$114.5,Ted,$218.8
331,George Zakk,$341.9,6,$57.0,XXX,$142.1
332,George Clooney,$340.8,6,$56.8,Argo,$136.0
333,Taylor Hackford,$339.9,17,$20.0,Ray,$75.3
334,Kevin McCormick,$338.0,9,$37.6,Saturday Night Fever,$94.2
335,Chris Renaud,$336.0,1,$336.0,Minions,$336.0
336,Paul W.S. Anderson,$335.2,10,$33.5,Resident Evil: Afterlife,$60.1
337,Randall Wallace,$334.0,4,$83.5,Pearl Harbor,$198.5
338,Nikolas Korda,$333.2,1,$333.2,Guardians of the Galaxy,$333.2
339,Alex Young,$330.6,5,$66.1,Unstoppable,$81.6
340,Jim Abrahams,$329.0,6,$54.8,Naked Gun 2 1/2,$86.9
341,J. Miles Dale,$326.9,11,$29.7,The Vow,$125.0
342,Sacha Baron Cohen,$321.2,4,$80.3,Borat,$128.5
343,James Weaver,$313.2,4,$78.3,Neighbors,$150.2
344,Hugh Jackman,$312.4,2,$156.2,X-Men Origins: Wolverine,$179.9
345,Penny Marshall,$311.7,7,$44.5,League of Their Own,$107.5
346,Jeremy Bolt,$310.9,12,$25.9,Resident Evil: Afterlife,$60.1
347,Susan Cartsonis,$307.1,7,$43.9,What Women Want,$182.8
348,Bill Johnson,$306.7,7,$43.8,"I Love You, Man",$71.4
349,Mark Wahlberg,$306.3,7,$43.8,The Fighter,$93.6
350,Eric Newman,$305.8,11,$27.8,Dawn of the Dead,$59.0
351,Peter Lord,$305.1,5,$61.0,Chicken Run,$106.8
352,Brian Kavanaugh-Jones,$303.8,11,$27.6,Insidious Chapter 2,$83.6
353,Mason Novick,$300.9,7,$43.0,Juno,$143.5
354,Gail Lyon,$295.5,6,$49.3,Erin Brockovich,$125.6
355,Frank Darabont,$292.0,5,$58.4,Green Mile,$136.8
356,Trevor Macy,$291.0,10,$29.1,Safe House,$126.4
357,Debra Martin Chase,$290.6,4,$72.6,Princess Diaries,$108.2
358,Alejandro González Iñárritu,$290.5,9,$32.3,The Revenant,$183.6
