Rank,Person,Total Gross,Number of Movies,Average Gross,Highest Gross Movie,Gross
389,Hayden Christensen,$867.7,10,$86.8,Revenge of the Sith,$380.3
390,Sean Penn,$867.6,39,$22.2,Angry Birds,$107.5
391,Matt Dillon,$856.0,39,$21.9,Something About Mary,$176.5
392,Joan Allen,$854.3,24,$35.6,The Bourne Ultimatum,$227.5
393,Jared Harris,$851.5,27,$31.5,Sherlock Holmes 2,$186.8
394,Jon Hamm,$845.1,14,$60.4,Minions,$336.0
395,Benjamin Bratt,$843.4,20,$42.2,Despicable Me 2,$368.1
396,Mickey Rourke,$842.3,36,$23.4,Iron Man 2,$312.4
397,Robin Wright,$836.1,7,$119.4,Wonder Woman,$412.6
398,Ethan Hawke,$830.1,47,$17.7,Dead Poets Society,$95.9
399,Kate Hudson,$827.3,27,$30.6,Kung Fu Panda 3,$143.5
400,Jet Li,$822.2,18,$45.7,Lethal Weapon 4,$130.4
401,Leonard Nimoy,$820.3,11,$74.6,Star Trek,$257.7
402,Tom Holland,$815.5,7,$116.5,Captain America 3,$408.1
403,Neil Patrick Harris,$811.5,14,$58.0,Gone Girl,$167.8
404,Jake Johnson,$811.1,9,$90.1,Jurassic World,$652.3
405,Danny McBride,$809.7,18,$45.0,Tropic Thunder,$110.5
406,Donnie Yen,$804.7,13,$61.9,Rogue One,$532.2
407,Chris Tucker,$797.7,9,$88.6,Rush Hour 2,$226.2
408,Nia Long,$796.5,22,$36.2,Big Momma's House,$117.6
409,Topher Grace,$796.0,13,$61.2,Spider-Man 3,$336.5
410,Nick Swardson,$792.5,13,$61.0,Grown Ups 2,$133.7
411,Josh Lucas,$791.1,24,$33.0,A Beautiful Mind,$170.7
412,Chloe Moretz,$786.7,20,$39.3,The Equalizer,$101.5
413,Katherine Heigl,$785.4,18,$43.6,Knocked Up,$148.8
414,Patrick Wilson,$783.3,20,$39.2,The Conjuring,$137.4
415,Chris O'Donnell,$779.3,19,$41.0,Batman Forever,$184.0
416,Evangeline Lilly,$779.2,4,$194.8,The Hobbit 2,$258.4
417,Melissa Leo,$778.2,30,$25.9,The Equalizer,$101.5
418,Vera Farmiga,$777.7,24,$32.4,The Conjuring,$137.4
419,Seth MacFarlane,$777.5,7,$111.1,Sing,$270.3
420,John Slattery,$774.6,12,$64.6,Iron Man 2,$312.4
421,Uma Thurman,$774.4,31,$25.0,Pulp Fiction,$107.9
422,Jessica Biel,$772.9,24,$32.2,I Now Pronounce You Chuck and Larry,$120.1
423,Karen Gillan,$771.2,5,$154.2,Guardians of the Galaxy 2,$389.8
424,Marlon Wayans,$765.6,17,$45.0,Scary Movie,$157.0
425,Ricky Gervais,$764.6,10,$76.5,Night at the Museum,$250.9
426,Michael Cera,$763.1,15,$50.9,The LEGO Batman Movie,$175.8
427,Bette Midler,$754.5,20,$37.7,First Wives Club,$105.5
428,Alan Alda,$753.0,22,$34.2,What Women Want,$182.8
429,Ryan Gosling,$752.9,22,$34.2,La La Land,$151.1
430,Jemaine Clement,$745.1,13,$57.3,Moana,$248.8
431,Christina Ricci,$743.7,35,$21.2,Addams Family,$113.5
432,David Spade,$738.5,14,$52.8,Hotel Transylvania 2,$169.7
433,Rebecca Hall,$734.9,19,$38.7,Iron Man 3,$409.0
434,James Caviezel,$730.9,20,$36.5,Passion of the Christ,$370.8
435,Ellen Page,$730.9,16,$45.7,Inception,$292.6
436,Tea Leoni,$730.2,13,$56.2,Jurassic Park III,$181.2
437,Lucas Black,$730.2,12,$60.8,Furious 7,$353.0
438,Sharon Stone,$724.3,35,$20.7,Total Recall,$119.4
