,FCP,MAE,RMSE,k,similarity_metric,user-based?,algorithm
100,0.664241924334,0.778869624065,0.98631428976,10,msd,True,100k_KNNWithMeans_Results.csv
101,0.681736537448,0.763537466742,0.967303190799,20,msd,True,100k_KNNWithMeans_Results.csv
102,0.68695218607,0.758534000074,0.961678083798,30,msd,True,100k_KNNWithMeans_Results.csv
103,0.688765165074,0.756711194256,0.959644220052,40,msd,True,100k_KNNWithMeans_Results.csv
104,0.689747054653,0.755892959678,0.958999079427,50,msd,True,100k_KNNWithMeans_Results.csv
105,0.690189729142,0.755613724492,0.958838978039,60,msd,True,100k_KNNWithMeans_Results.csv
106,0.689409916344,0.755536640227,0.958947077995,70,msd,True,100k_KNNWithMeans_Results.csv
107,0.689019782088,0.755606222343,0.959171462326,80,msd,True,100k_KNNWithMeans_Results.csv
108,0.688918502903,0.755859894631,0.959497642566,90,msd,True,100k_KNNWithMeans_Results.csv
109,0.688017306632,0.756138025472,0.959852816001,100,msd,True,100k_KNNWithMeans_Results.csv
110,0.669837390307,0.762404279866,0.972595633961,10,msd,False,100k_KNNWithMeans_Results.csv
111,0.683801909508,0.746953192819,0.952172942015,20,msd,False,100k_KNNWithMeans_Results.csv
112,0.68867931414,0.742744851562,0.946555757641,30,msd,False,100k_KNNWithMeans_Results.csv
113,0.691327960078,0.741020351215,0.944147085345,40,msd,False,100k_KNNWithMeans_Results.csv
114,0.692504767487,0.740673771662,0.943436211111,50,msd,False,100k_KNNWithMeans_Results.csv
115,0.692911492675,0.740602547195,0.943189548115,60,msd,False,100k_KNNWithMeans_Results.csv
116,0.69316478914,0.740958847631,0.943362799392,70,msd,False,100k_KNNWithMeans_Results.csv
117,0.693118089804,0.741292645256,0.943663192906,80,msd,False,100k_KNNWithMeans_Results.csv
118,0.693142029337,0.741743539657,0.944080305886,90,msd,False,100k_KNNWithMeans_Results.csv
119,0.693061526237,0.742190076516,0.944514039448,100,msd,False,100k_KNNWithMeans_Results.csv
120,0.666924556991,0.777127587339,0.989430484025,10,pearson,True,100k_KNNWithMeans_Results.csv
121,0.68402809661,0.760143683781,0.968563516694,20,pearson,True,100k_KNNWithMeans_Results.csv
122,0.687818951502,0.755123296488,0.962743936967,30,pearson,True,100k_KNNWithMeans_Results.csv
123,0.690375997428,0.753398059741,0.960653939771,40,pearson,True,100k_KNNWithMeans_Results.csv
124,0.691235237527,0.752712021957,0.959905663756,50,pearson,True,100k_KNNWithMeans_Results.csv
125,0.691306039298,0.752586530787,0.959693190613,60,pearson,True,100k_KNNWithMeans_Results.csv
126,0.691514299767,0.752467494335,0.959581622986,70,pearson,True,100k_KNNWithMeans_Results.csv
127,0.691512019218,0.752539466432,0.959583874542,80,pearson,True,100k_KNNWithMeans_Results.csv
128,0.691468748187,0.75257400539,0.95960591467,90,pearson,True,100k_KNNWithMeans_Results.csv
129,0.691720090138,0.752638068744,0.959652442344,100,pearson,True,100k_KNNWithMeans_Results.csv
130,0.665944854208,0.773399051827,0.986842770102,10,pearson,False,100k_KNNWithMeans_Results.csv
131,0.682005747041,0.75563675016,0.964117083178,20,pearson,False,100k_KNNWithMeans_Results.csv
132,0.688312299733,0.749724480695,0.956660730571,30,pearson,False,100k_KNNWithMeans_Results.csv
133,0.691012026885,0.747432478756,0.953726271156,40,pearson,False,100k_KNNWithMeans_Results.csv
134,0.692492129416,0.746516332065,0.952344144407,50,pearson,False,100k_KNNWithMeans_Results.csv
135,0.693368770289,0.746125822991,0.951708864115,60,pearson,False,100k_KNNWithMeans_Results.csv
136,0.693961280086,0.745857257346,0.951337639249,70,pearson,False,100k_KNNWithMeans_Results.csv
137,0.694233160237,0.745651647394,0.95110357237,80,pearson,False,100k_KNNWithMeans_Results.csv
138,0.694531813319,0.745648319744,0.951041187787,90,pearson,False,100k_KNNWithMeans_Results.csv
139,0.69456145787,0.745615424374,0.950984355048,100,pearson,False,100k_KNNWithMeans_Results.csv
140,0.682992195872,0.75190140186,0.966149498129,10,pearson_baseline,True,100k_KNNWithMeans_Results.csv
141,0.689743806602,0.744274182582,0.954825648588,20,pearson_baseline,True,100k_KNNWithMeans_Results.csv
142,0.690866211135,0.743461677481,0.952884751344,30,pearson_baseline,True,100k_KNNWithMeans_Results.csv
143,0.690886882682,0.743564015402,0.952562123749,40,pearson_baseline,True,100k_KNNWithMeans_Results.csv
144,0.691395681617,0.743826879872,0.952524742306,50,pearson_baseline,True,100k_KNNWithMeans_Results.csv
