,RMSE,bsl_options,params,scores
29,0.8979741532644615,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.005, 'n_epochs': 20}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.005, 'n_epochs': 20}}","{'RMSE': 0.89797415326446151, 'MAE': 0.69369073915438872, 'FCP': 0.6629156846586759}"
30,0.8942642654239235,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.005, 'n_epochs': 50}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.005, 'n_epochs': 50}}","{'RMSE': 0.89426426542392345, 'MAE': 0.68962398170241035, 'FCP': 0.66511476426942484}"
31,0.8962008538054216,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.005, 'n_epochs': 100}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.005, 'n_epochs': 100}}","{'RMSE': 0.89620085380542158, 'MAE': 0.69037881798796641, 'FCP': 0.66488976996537041}"
32,0.8988792213705679,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.01, 'n_epochs': 10}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.01, 'n_epochs': 10}}","{'RMSE': 0.89887922137056786, 'MAE': 0.69410564578482914, 'FCP': 0.66253556310874706}"
33,0.8953454428572243,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.01, 'n_epochs': 20}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.01, 'n_epochs': 20}}","{'RMSE': 0.89534544285722428, 'MAE': 0.69050892154478771, 'FCP': 0.66457555279880509}"
34,0.8970964048416004,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.01, 'n_epochs': 50}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.01, 'n_epochs': 50}}","{'RMSE': 0.89709640484160036, 'MAE': 0.69089956512823858, 'FCP': 0.66442257968359031}"
35,0.9018296228587822,"{'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.01, 'n_epochs': 100}","{'bsl_options': {'method': 'sgd', 'reg': 0.05, 'learning_rate': 0.01, 'n_epochs': 100}}","{'RMSE': 0.90182962285878221, 'MAE': 0.69361893329302993, 'FCP': 0.66323119654657359}"
36,0.9441176163317445,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.001, 'n_epochs': 10}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.001, 'n_epochs': 10}}","{'RMSE': 0.94411761633174451, 'MAE': 0.73901128025699336, 'FCP': 0.65314049274809549}"
37,0.9257287322133545,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.001, 'n_epochs': 20}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.001, 'n_epochs': 20}}","{'RMSE': 0.9257287322133545, 'MAE': 0.72025762240309121, 'FCP': 0.65485918416024036}"
38,0.9070620948341045,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.001, 'n_epochs': 50}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.001, 'n_epochs': 50}}","{'RMSE': 0.90706209483410449, 'MAE': 0.70290171725745076, 'FCP': 0.65916922093340258}"
39,0.8983860641915868,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.001, 'n_epochs': 100}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.001, 'n_epochs': 100}}","{'RMSE': 0.89838606419158684, 'MAE': 0.69489706224531678, 'FCP': 0.66297824025293794}"
40,0.9075899944044343,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.005, 'n_epochs': 10}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.005, 'n_epochs': 10}}","{'RMSE': 0.90758999440443433, 'MAE': 0.70281165367001419, 'FCP': 0.65882682913490742}"
41,0.8989140478393919,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.005, 'n_epochs': 20}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.005, 'n_epochs': 20}}","{'RMSE': 0.89891404783939188, 'MAE': 0.69485162003997991, 'FCP': 0.66297184188035607}"
42,0.894811331010486,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.005, 'n_epochs': 50}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.005, 'n_epochs': 50}}","{'RMSE': 0.89481133101048604, 'MAE': 0.69051040515749917, 'FCP': 0.66474874698404496}"
43,0.8962483398891401,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.005, 'n_epochs': 100}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.005, 'n_epochs': 100}}","{'RMSE': 0.8962483398891401, 'MAE': 0.69102697861928974, 'FCP': 0.66418993261420844}"
44,0.8998424363000181,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.01, 'n_epochs': 10}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.01, 'n_epochs': 10}}","{'RMSE': 0.89984243630001814, 'MAE': 0.69528825912544534, 'FCP': 0.66217785382047101}"
45,0.8960388993368313,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.01, 'n_epochs': 20}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.01, 'n_epochs': 20}}","{'RMSE': 0.89603889933683134, 'MAE': 0.69148837031609989, 'FCP': 0.66439334885497003}"
46,0.8971608644163147,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.01, 'n_epochs': 50}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.01, 'n_epochs': 50}}","{'RMSE': 0.89716086441631471, 'MAE': 0.69153055233932137, 'FCP': 0.66383001976428979}"
47,0.9012075326390386,"{'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.01, 'n_epochs': 100}","{'bsl_options': {'method': 'sgd', 'reg': 0.1, 'learning_rate': 0.01, 'n_epochs': 100}}","{'RMSE': 0.90120753263903863, 'MAE': 0.69389870432965006, 'FCP': 0.66236812289326763}"
