,RMSE,bsl_options,params,scores
45,0.9065428736711534,"{'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 5}}","{'RMSE': 0.90654287367115338, 'MAE': 0.70211720140148759, 'FCP': 0.66571931521707961}"
46,0.9118446120254695,"{'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 10}}","{'RMSE': 0.91184461202546951, 'MAE': 0.70806525524497876, 'FCP': 0.66401419159852204}"
47,0.9511902948470258,"{'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 50, 'reg_u': 100, 'reg_i': 100}}","{'RMSE': 0.95119029484702577, 'MAE': 0.74880149957817699, 'FCP': 0.65435202643806512}"
48,0.8953013255756271,"{'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 1}}","{'RMSE': 0.89530132557562714, 'MAE': 0.68988370465761595, 'FCP': 0.66628020391233889}"
49,0.894261643756842,"{'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 5}}","{'RMSE': 0.89426164375684203, 'MAE': 0.6912018975885279, 'FCP': 0.66585963842729368}"
50,0.9002715063726647,"{'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 10}}","{'RMSE': 0.90027150637266473, 'MAE': 0.69702597063894833, 'FCP': 0.66392633011641211}"
51,0.9411164660217025,"{'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 1, 'reg_i': 100}}","{'RMSE': 0.94111646602170251, 'MAE': 0.73360178735065862, 'FCP': 0.65248113671521923}"
52,0.8952280166169253,"{'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 1}}","{'RMSE': 0.8952280166169253, 'MAE': 0.68997876334391306, 'FCP': 0.66620966344895594}"
53,0.8940906501982834,"{'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 5}}","{'RMSE': 0.89409065019828338, 'MAE': 0.69128075350122642, 'FCP': 0.66594709143439412}"
54,0.9000389620195083,"{'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 10}}","{'RMSE': 0.90003896201950828, 'MAE': 0.69712728997573725, 'FCP': 0.66381019243491024}"
55,0.9406991001495509,"{'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 5, 'reg_i': 100}}","{'RMSE': 0.94069910014955094, 'MAE': 0.73384068853475581, 'FCP': 0.65243985974714014}"
56,0.8964023419110208,"{'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 1}}","{'RMSE': 0.89640234191102075, 'MAE': 0.69122268651766317, 'FCP': 0.6658662679564189}"
57,0.8950673736544313,"{'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 5}}","{'RMSE': 0.89506737365443134, 'MAE': 0.69239333749785681, 'FCP': 0.66612588283931562}"
58,0.9008755442483996,"{'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 10}}","{'RMSE': 0.90087554424839955, 'MAE': 0.69822227693337868, 'FCP': 0.66370104085058146}"
59,0.941189497088631,"{'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 15, 'reg_i': 100}}","{'RMSE': 0.94118949708863098, 'MAE': 0.7354116653777385, 'FCP': 0.65298027224594779}"
60,0.9086416234772374,"{'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 1}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 1}}","{'RMSE': 0.90864162347723743, 'MAE': 0.70157947057973669, 'FCP': 0.66473795433042626}"
61,0.9065428736711534,"{'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 5}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 5}}","{'RMSE': 0.90654287367115338, 'MAE': 0.70211720140148759, 'FCP': 0.66571931521707961}"
62,0.9118446120254695,"{'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 10}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 10}}","{'RMSE': 0.91184461202546951, 'MAE': 0.70806525524497876, 'FCP': 0.66401419159852204}"
63,0.9511902948470258,"{'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 100}","{'bsl_options': {'method': 'als', 'n_epochs': 100, 'reg_u': 100, 'reg_i': 100}}","{'RMSE': 0.95119029484702577, 'MAE': 0.74880149957817699, 'FCP': 0.65435202643806512}"
